nivel;id_inscripcion;genero;municipio;departamento;aprobo;discapacidad;edad;rango;categoria
Especialista;188.252.016;M;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Especialista;104.562.168;F;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Profesional;619.099.468;F;Bogota;Bogota;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Especialista;789.870.344;F;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Especialista;695.804.359;F;Bogota;Bogota;SI;NO;26;18  A 30;JOVEN
Especialista;25.764.994;F;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Profesional;444.053.739;F;Medellin;Antioquia;SI;SI;31;31 a 40;ADULTO JOVEN
Profesional;618.691.813;F;Bogota;Bogota;SI;NO;48;41 A 50;ADULTO
Especialista;967.022.420;M;Bogota;Bogota;SI;NO;33;31 a 40;ADULTO JOVEN
Asistencial;829.689.220;F;Medellin;Antioquia;SI;NO;38;31 a 40;ADULTO JOVEN
Especialista;784.189.810;M;Bogota;Bogota;SI;NO;28;18  A 30;JOVEN
Especialista;751.715.869;F;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Especialista;441.846.292;F;Bogota;Bogota;SI;SI;24;18  A 30;JOVEN
Especialista;991.751.114;F;Bogota;Bogota;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Especialista;632.590.530;M;Bogota;Bogota;SI;NO;32;31 a 40;ADULTO JOVEN
Especialista;581.568.633;M;Bogota;Bogota;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Especialista;247.491.869;F;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;211.409.768;M;Bogota;Bogota;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Profesional;605.114.390;F;Bogota;Bogota;SI;NO;22;18  A 30;JOVEN
Profesional;262.316.563;M;Villavicencio;Meta;SI;NO;30;18  A 30;JOVEN
Especialista;94.310.325;F;Bogota;Bogota;SI;NO;38;31 a 40;ADULTO JOVEN
Profesional;766.803.101;F;Cartagena De Indias;Bolivar;SI;NO;38;31 a 40;ADULTO JOVEN
Profesional;742.047.133;M;Bogota;Bogota;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Profesional;22.486.538;M;Bogota;Bogota;SI;NO;38;31 a 40;ADULTO JOVEN
Tecnico;555.470.399;F;Bogota;Bogota;SI;NO;19;18  A 30;JOVEN
Tecnico;110.276.774;F;Cali;Valle del Cauca;SI;SI;45;41 A 50;ADULTO
Tecnico;677.123.403;M;Armenia;Quindio;SI;NO;19;18  A 30;JOVEN
Profesional;446.037.928;M;Bogota;Bogota;SI;NO;44;41 A 50;ADULTO
Especialista;934.493.909;F;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Tecnico;925.835.940;F;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Tecnico;144.276.487;F;Bogota;Bogota;SI;NO;49;41 A 50;ADULTO
Tecnico;512.651.184;F;Bogota;Bogota;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Especialista;283.282.765;F;Bogota;Bogota;SI;NO;48;41 A 50;ADULTO
Especialista;111.375.769;M;Villavicencio;Meta;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Especialista;230.230.005;F;Bogota;Bogota;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Especialista;31.440.252;M;Bogota;Bogota;SI;SI;36;31 a 40;ADULTO JOVEN
Tecnico;795.190.263;F;San Andres;San Andres y Providencia;SI;NO;22;18  A 30;JOVEN
Tecnico;82.360.263;M;Florencia;Caqueta;SI;NO;31;31 a 40;ADULTO JOVEN
Especialista;647.459.590;M;Bogota;Bogota;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Tecnico;957.553.324;F;Bogota;Bogota;SI;SI;18;18  A 30;JOVEN
Tecnico;788.021.463;M;Bogota;Bogota;SI;NO;26;18  A 30;JOVEN
Profesional;795.611.337;F;Medellin;Antioquia;SI;NO;30;18  A 30;JOVEN
Especialista;605.356.268;F;Bogota;Bogota;SI;NO;60;51 EN ADELANTE;ADULTO MAYOR
Tecnico;723.594.165;M;Bogota;Bogota;SI;NO;34;31 a 40;ADULTO JOVEN
Asistencial;989.798.138;M;Florencia;Caqueta;SI;NO;42;41 A 50;ADULTO
Especialista;450.264.506;M;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Especialista;784.427.729;M;Bogota;Bogota;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Especialista;774.650.984;F;Bogota;Bogota;SI;NO;19;18  A 30;JOVEN
Tecnico;16.929.070;M;Santa Marta;Magdalena;SI;NO;42;41 A 50;ADULTO
Profesional;848.295.474;M;Bucaramanga;Santander;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Tecnico;590.413.260;M;Sincelejo;Sucre;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Especialista;309.123.287;M;Bogota;Bogota;SI;NO;32;31 a 40;ADULTO JOVEN
Tecnico;271.949.033;M;Bogota;Bogota;SI;NO;43;41 A 50;ADULTO
Especialista;100.994.741;M;Bogota;Bogota;SI;NO;46;41 A 50;ADULTO
Especialista;617.514.840;M;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Especialista;503.246.259;M;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;293.356.091;F;Cali;Valle del Cauca;SI;NO;22;18  A 30;JOVEN
Especialista;740.811.973;M;Bogota;Bogota;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Tecnico;103.905.117;F;Bogota;Bogota;SI;NO;23;18  A 30;JOVEN
Profesional;791.440.490;F;Bogota;Bogota;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Tecnico;75.834.198;F;Bogota;Bogota;SI;NO;18;18  A 30;JOVEN
Especialista;903.955.032;F;Bogota;Bogota;SI;NO;18;18  A 30;JOVEN
Asistencial;574.917.539;M;Bogota;Bogota;SI;NO;23;18  A 30;JOVEN
Especialista;790.288.466;F;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Asistencial;420.858.122;F;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Asistencial;512.162.108;F;Bucaramanga;Santander;SI;NO;46;41 A 50;ADULTO
Especialista;729.846.072;M;Bogota;Bogota;SI;NO;29;18  A 30;JOVEN
Especialista;99.383.905;M;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Profesional;46.030.156;F;Cali;Valle del Cauca;SI;NO;47;41 A 50;ADULTO
Especialista;553.401.095;F;Bogota;Bogota;SI;SI;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;547.861.855;F;Neiva;Huila;SI;NO;30;18  A 30;JOVEN
Profesional;575.762.579;F;Barranquilla;Atlantico;SI;NO;38;31 a 40;ADULTO JOVEN
Especialista;532.519.224;F;Bogota;Bogota;SI;NO;39;31 a 40;ADULTO JOVEN
Profesional;448.774.746;M;Bogota;Bogota;SI;NO;46;41 A 50;ADULTO
